ROWID,Country,SourceYear,Crop name,Area,Production,Yield,Percentage of area under irrigation ( % ),Comments,YearCode,Year
48,India,1974-75,Sunflower,340.00,230.00,671.00,,,1974,"Financial Year (Apr - Mar), 1974"
49,India,1982-83,Sunflower,460.00,230.00,497.00,,,1982,"Financial Year (Apr - Mar), 1982"
50,India,2020-21,Sunflower,220.00,230.00,1023.00,,* 4th Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
51,India,1957-58,Tobacco,360.00,240.00,669.00,22.50,,1957,"Financial Year (Apr - Mar), 1957"
52,India,1952-53,Tobacco,360.00,250.00,675.00,9.71,,1952,"Financial Year (Apr - Mar), 1952"
53,India,2016-17,Sunflower,380.00,250.00,660.00,,,2016,"Financial Year (Apr - Mar), 2016"
54,India,1950-51,Tobacco,360.00,260.00,731.00,,,1950,"Financial Year (Apr - Mar), 1950"
55,India,1954-55,Tobacco,350.00,260.00,737.00,10.84,,1954,"Financial Year (Apr - Mar), 1954"
56,India,1953-54,Tobacco,370.00,270.00,737.00,9.73,,1953,"Financial Year (Apr - Mar), 1953"
57,India,1979-80,Soybean,500.00,280.00,568.00,,,1979,"Financial Year (Apr - Mar), 1979"
58,India,1985-86,Sunflower,750.00,280.00,374.00,,,1985,"Financial Year (Apr - Mar), 1985"
59,India,1959-60,Tobacco,410.00,290.00,716.00,22.44,,1959,"Financial Year (Apr - Mar), 1959"
60,India,1965-66,Tobacco,380.00,290.00,778.00,16.94,,1965,"Financial Year (Apr - Mar), 1965"
61,India,1955-56,Tobacco,410.00,300.00,739.00,16.87,,1955,"Financial Year (Apr - Mar), 1955"
62,India,1971-72,Lentil (Masur),630.00,300.00,481.00,,,1971,"Financial Year (Apr - Mar), 1971"
63,India,1978-79,Soybean,310.00,300.00,975.00,,,1978,"Financial Year (Apr - Mar), 1978"
64,India,1983-84,Sunflower,700.00,300.00,431.00,,,1983,"Financial Year (Apr - Mar), 1983"
65,India,2015-16,Sunflower,490.00,300.00,609.00,,,2015,"Financial Year (Apr - Mar), 2015"
66,India,1956-57,Tobacco,420.00,310.00,728.00,20.38,,1956,"Financial Year (Apr - Mar), 1956"
67,India,1960-61,Tobacco,400.00,310.00,766.00,21.95,,1960,"Financial Year (Apr - Mar), 1960"
68,India,1958-59,Tobacco,380.00,320.00,836.00,21.00,,1958,"Financial Year (Apr - Mar), 1958"
69,India,1979-80,Lentil (Masur),850.00,320.00,377.00,,,1979,"Financial Year (Apr - Mar), 1979"
70,India,1961-62,Tobacco,420.00,340.00,811.00,17.94,,1961,"Financial Year (Apr - Mar), 1961"
71,India,1962-63,Tobacco,410.00,340.00,842.00,18.23,,1962,"Financial Year (Apr - Mar), 1962"
72,India,1969-70,Tobacco,440.00,340.00,770.00,19.55,,1969,"Financial Year (Apr - Mar), 1969"
73,India,2000-01,Tobacco,260.00,340.00,1318.00,53.16,,2000,"Financial Year (Apr - Mar), 2000"
74,India,1966-67,Tobacco,420.00,350.00,834.00,17.06,,1966,"Financial Year (Apr - Mar), 1966"
75,India,1975-76,Tobacco,370.00,350.00,950.00,29.79,,1975,"Financial Year (Apr - Mar), 1975"
76,India,1981-82,Soybean,480.00,350.00,741.00,,,1981,"Financial Year (Apr - Mar), 1981"
77,India,1963-64,Tobacco,440.00,360.00,817.00,15.42,,1963,"Financial Year (Apr - Mar), 1963"
78,India,1964-65,Tobacco,410.00,360.00,876.00,16.95,,1964,"Financial Year (Apr - Mar), 1964"
79,India,1968-69,Tobacco,440.00,360.00,821.00,20.44,,1968,"Financial Year (Apr - Mar), 1968"
80,India,1970-71,Tobacco,450.00,360.00,810.00,23.67,,1970,"Financial Year (Apr - Mar), 1970"
81,India,1974-75,Tobacco,380.00,360.00,954.00,20.98,,1974,"Financial Year (Apr - Mar), 1974"
82,India,1967-68,Tobacco,420.00,370.00,871.00,17.39,,1967,"Financial Year (Apr - Mar), 1967"
83,India,1970-71,Lentil (Masur),750.00,370.00,497.00,,,1970,"Financial Year (Apr - Mar), 1970"
84,India,1972-73,Tobacco,450.00,370.00,837.00,26.28,,1972,"Financial Year (Apr - Mar), 1972"
85,India,1972-73,Lentil (Masur),830.00,370.00,447.00,,,1972,"Financial Year (Apr - Mar), 1972"
86,India,1987-88,Tobacco,320.00,370.00,1155.00,45.92,,1987,"Financial Year (Apr - Mar), 1987"
87,India,1988-89,Sunflower,1100.00,370.00,335.00,,,1988,"Financial Year (Apr - Mar), 1988"
88,India,1999-00,Guarseed,2933.90,375.10,128.00,,,1999,"Financial Year (Apr - Mar), 1999"
89,India,1977-78,Lentil (Masur),880.00,380.00,436.00,,,1977,"Financial Year (Apr - Mar), 1977"
90,India,1976-77,Lentil (Masur),850.00,390.00,461.00,,,1976,"Financial Year (Apr - Mar), 1976"
91,India,1973-74,Lentil (Masur),930.00,410.00,440.00,,,1973,"Financial Year (Apr - Mar), 1973"
92,India,1971-72,Tobacco,460.00,420.00,914.00,24.50,,1971,"Financial Year (Apr - Mar), 1971"
93,India,1976-77,Tobacco,430.00,420.00,969.00,30.24,,1976,"Financial Year (Apr - Mar), 1976"
94,India,1986-87,Sunflower,1020.00,420.00,411.00,,,1986,"Financial Year (Apr - Mar), 1986"
95,India,2014-15,Sunflower,590.00,430.00,736.00,,,2014,"Financial Year (Apr - Mar), 2014"
96,India,1979-80,Tobacco,430.00,440.00,1031.00,32.56,,1979,"Financial Year (Apr - Mar), 1979"
97,India,1980-81,Soybean,610.00,440.00,728.00,,,1980,"Financial Year (Apr - Mar), 1980"
98,India,1984-85,Sunflower,840.00,440.00,527.00,,,1984,"Financial Year (Apr - Mar), 1984"
99,India,1985-86,Tobacco,400.00,440.00,1111.00,39.90,,1985,"Financial Year (Apr - Mar), 1985"
100,India,2007-08,Tobacco,350.00,440.00,1255.00,50.26,,2007,"Financial Year (Apr - Mar), 2007"
101,India,1978-79,Tobacco,410.00,450.00,1109.00,30.55,,1978,"Financial Year (Apr - Mar), 1978"
102,India,1978-79,Lentil (Masur),1010.00,450.00,443.00,,,1978,"Financial Year (Apr - Mar), 1978"
103,India,1973-74,Tobacco,460.00,460.00,1001.00,24.22,,1973,"Financial Year (Apr - Mar), 1973"
104,India,1974-75,Lentil (Masur),950.00,460.00,480.00,,,1974,"Financial Year (Apr - Mar), 1974"
105,India,1975-76,Lentil (Masur),940.00,460.00,492.00,,,1975,"Financial Year (Apr - Mar), 1975"
106,India,1986-87,Tobacco,390.00,460.00,1187.00,40.66,,1986,"Financial Year (Apr - Mar), 1986"
107,India,1980-81,Lentil (Masur),930.00,470.00,498.00,,,1980,"Financial Year (Apr - Mar), 1980"
108,India,2006-07,Tobacco,370.00,470.00,1274.00,47.08,,2006,"Financial Year (Apr - Mar), 2006"
109,India,1980-81,Tobacco,450.00,480.00,1065.00,33.70,,1980,"Financial Year (Apr - Mar), 1980"
110,India,1998-99,Guarseed,1922.10,488.50,254.00,,,1998,"Financial Year (Apr - Mar), 1998"
111,India,1977-78,Tobacco,500.00,490.00,979.00,23.33,,1977,"Financial Year (Apr - Mar), 1977"
112,India,1982-83,Soybean,770.00,490.00,637.00,,,1982,"Financial Year (Apr - Mar), 1982"
113,India,1982-83,Lentil (Masur),1000.00,490.00,491.00,,,1982,"Financial Year (Apr - Mar), 1982"
114,India,1983-84,Tobacco,440.00,490.00,1120.00,34.05,,1983,"Financial Year (Apr - Mar), 1983"
115,India,1984-85,Tobacco,440.00,490.00,1113.00,37.74,,1984,"Financial Year (Apr - Mar), 1984"
116,India,1988-89,Tobacco,380.00,490.00,1307.00,42.38,,1988,"Financial Year (Apr - Mar), 1988"
117,India,2002-03,Tobacco,330.00,490.00,1506.00,46.66,,2002,"Financial Year (Apr - Mar), 2002"
118,India,1981-82,Lentil (Masur),950.00,500.00,525.00,,,1981,"Financial Year (Apr - Mar), 1981"
119,India,2005-06,Tobacco,370.00,500.00,1351.00,48.18,,2005,"Financial Year (Apr - Mar), 2005"
120,India,2013-14,Sunflower,670.00,500.00,750.00,,,2013,"Financial Year (Apr - Mar), 2013"
121,India,1950-51,Cotton,5880.00,516.80,88.00,8.22,,1950,"Financial Year (Apr - Mar), 1950"
122,India,1981-82,Tobacco,440.00,520.00,1172.00,33.86,,1981,"Financial Year (Apr - Mar), 1981"
123,India,1999-00,Tobacco,430.00,520.00,1211.00,47.08,,1999,"Financial Year (Apr - Mar), 1999"
124,India,2011-12,Sunflower,730.00,520.00,712.00,,,2011,"Financial Year (Apr - Mar), 2011"
125,India,1983-84,Lentil (Masur),940.00,530.00,566.00,,,1983,"Financial Year (Apr - Mar), 1983"
126,India,1995-96,Tobacco,390.00,540.00,1356.00,46.55,,1995,"Financial Year (Apr - Mar), 1995"
127,India,2012-13,Sunflower,830.00,540.00,655.00,,,2012,"Financial Year (Apr - Mar), 2012"
128,India,1984-85,Lentil (Masur),980.00,550.00,557.00,,,1984,"Financial Year (Apr - Mar), 1984"
129,India,1989-90,Tobacco,410.00,550.00,1335.00,43.18,,1989,"Financial Year (Apr - Mar), 1989"
130,India,2001-02,Tobacco,350.00,550.00,1565.00,45.78,,2001,"Financial Year (Apr - Mar), 2001"
131,India,2003-04,Tobacco,370.00,550.00,1486.00,50.17,,2003,"Financial Year (Apr - Mar), 2003"
132,India,2004-05,Tobacco,370.00,550.00,1498.00,49.02,,2004,"Financial Year (Apr - Mar), 2004"
133,India,1951-52,Cotton,6560.00,557.60,85.00,9.05,,1951,"Financial Year (Apr - Mar), 1951"
134,India,1990-91,Tobacco,410.00,560.00,1353.00,43.36,,1990,"Financial Year (Apr - Mar), 1990"
135,India,1993-94,Tobacco,380.00,560.00,1463.00,43.46,,1993,"Financial Year (Apr - Mar), 1993"
136,India,1952-53,Cotton,6360.00,567.80,89.00,8.49,,1952,"Financial Year (Apr - Mar), 1952"
137,India,1994-95,Tobacco,380.00,570.00,1486.00,45.34,,1994,"Financial Year (Apr - Mar), 1994"
138,India,2008-09,Tobacco,390.00,570.00,1456.00,47.08,,2008,"Financial Year (Apr - Mar), 2008"
139,India,1982-83,Tobacco,500.00,580.00,1157.00,29.64,,1982,"Financial Year (Apr - Mar), 1982"
140,India,1991-92,Tobacco,430.00,580.00,1369.00,38.95,,1991,"Financial Year (Apr - Mar), 1991"
141,India,2009-10,Guarseed,2995.20,594.70,199.00,,,2009,"Financial Year (Apr - Mar), 2009"
142,India,1950-51,Jute and Mesta,570.00,595.80,1043.00,,,1950,"Financial Year (Apr - Mar), 1950"
143,India,1992-93,Tobacco,420.00,600.00,1425.00,40.44,,1992,"Financial Year (Apr - Mar), 1992"
144,India,1983-84,Soybean,840.00,610.00,735.00,,,1983,"Financial Year (Apr - Mar), 1983"
145,India,1996-97,Tobacco,430.00,620.00,1444.00,46.80,,1996,"Financial Year (Apr - Mar), 1996"
146,India,1959-60,Cotton,7300.00,625.60,86.00,12.86,,1959,"Financial Year (Apr - Mar), 1959"
147,India,1989-90,Sunflower,1190.00,630.00,529.00,,,1989,"Financial Year (Apr - Mar), 1989"
148,India,1987-88,Sunflower,1650.00,640.00,385.00,,,1987,"Financial Year (Apr - Mar), 1987"
149,India,1997-98,Tobacco,460.00,640.00,1394.00,42.24,,1997,"Financial Year (Apr - Mar), 1997"
150,India,2000-01,Sunflower,1070.00,650.00,605.00,,,2000,"Financial Year (Apr - Mar), 2000"
151,India,2010-11,Sunflower,930.00,650.00,699.00,,,2010,"Financial Year (Apr - Mar), 2010"
152,India,2000-01,Guarseed,3497.40,658.80,188.00,,,2000,"Financial Year (Apr - Mar), 2000"
153,India,1985-86,Lentil (Masur),1090.00,660.00,607.00,,,1985,"Financial Year (Apr - Mar), 1985"
154,India,1986-87,Lentil (Masur),1090.00,660.00,607.00,,,1986,"Financial Year (Apr - Mar), 1986"
155,India,1987-88,Lentil (Masur),1040.00,660.00,635.00,,,1987,"Financial Year (Apr - Mar), 1987"
156,India,2012-13,Tobacco,430.00,660.00,1542.00,53.76,,2012,"Financial Year (Apr - Mar), 2012"
157,India,2018-19,Tobacco,410.00,660.00,1610.00,67.90,,2018,"Financial Year (Apr - Mar), 2018"
158,India,1953-54,Jute and Mesta,680.00,678.60,992.00,,,1953,"Financial Year (Apr - Mar), 1953"
159,India,2001-02,Sunflower,1180.00,680.00,577.00,,,2001,"Financial Year (Apr - Mar), 2001"
160,India,1999-00,Sunflower,1290.00,690.00,536.00,,,1999,"Financial Year (Apr - Mar), 1999"
161,India,2009-10,Tobacco,440.00,690.00,1559.00,45.29,,2009,"Financial Year (Apr - Mar), 2009"
162,India,1968-69,Jute and Mesta,810.00,691.20,855.00,,,1968,"Financial Year (Apr - Mar), 1968"
163,India,1954-55,Jute and Mesta,680.00,694.80,1021.00,,,1954,"Financial Year (Apr - Mar), 1954"
164,India,1953-54,Cotton,6990.00,702.10,100.00,8.40,,1953,"Financial Year (Apr - Mar), 1953"
165,India,1989-90,Lentil (Masur),1110.00,710.00,635.00,,,1989,"Financial Year (Apr - Mar), 1989"
166,India,1995-96,Lentil (Masur),1260.00,710.00,569.00,,,1995,"Financial Year (Apr - Mar), 1995"
167,India,1955-56,Cotton,8090.00,710.60,88.00,9.96,,1955,"Financial Year (Apr - Mar), 1955"
168,India,1988-89,Lentil (Masur),1080.00,730.00,679.00,,,1988,"Financial Year (Apr - Mar), 1988"
169,India,1998-99,Tobacco,510.00,740.00,1451.00,44.33,,1998,"Financial Year (Apr - Mar), 1998"
170,India,2013-14,Tobacco,460.00,740.00,1612.00,51.62,,2013,"Financial Year (Apr - Mar), 2013"
171,India,1993-94,Lentil (Masur),1180.00,750.00,632.00,,,1993,"Financial Year (Apr - Mar), 1993"
172,India,2011-12,Tobacco,470.00,750.00,1613.00,51.01,,2011,"Financial Year (Apr - Mar), 2011"
173,India,1954-55,Cotton,7550.00,756.50,100.00,9.83,,1954,"Financial Year (Apr - Mar), 1954"
174,India,1950-51,Rapeseed & Mustard,2070.00,760.00,368.00,,,1950,"Financial Year (Apr - Mar), 1950"
175,India,1994-95,Lentil (Masur),1160.00,780.00,678.00,,,1994,"Financial Year (Apr - Mar), 1994"
176,India,1992-93,Lentil (Masur),1200.00,790.00,657.00,,,1992,"Financial Year (Apr - Mar), 1992"
177,India,1991-92,Lentil (Masur),1190.00,800.00,674.00,,,1991,"Financial Year (Apr - Mar), 1991"
178,India,1997-98,Lentil (Masur),1290.00,800.00,623.00,,,1997,"Financial Year (Apr - Mar), 1997"
179,India,2010-11,Tobacco,490.00,800.00,1632.00,46.43,,2010,"Financial Year (Apr - Mar), 2010"
180,India,2015-16,Tobacco,450.00,800.00,1781.00,67.00,,2015,"Financial Year (Apr - Mar), 2015"
181,India,2019-20,Tobacco,400.00,800.00,1982.00,,,2019,"Financial Year (Apr - Mar), 2019"
182,India,1970-71,Cotton,7610.00,809.20,106.00,17.34,,1970,"Financial Year (Apr - Mar), 1970"
183,India,2007-08,Lentil (Masur),1310.00,810.00,622.00,,,2007,"Financial Year (Apr - Mar), 2007"
184,India,2016-17,Tobacco,400.00,810.00,2016.00,65.10,,2016,"Financial Year (Apr - Mar), 2016"
185,India,1961-62,Cotton,7980.00,824.50,103.00,13.00,,1961,"Financial Year (Apr - Mar), 1961"
186,India,1965-66,Cotton,7960.00,824.50,104.00,15.90,,1965,"Financial Year (Apr - Mar), 1965"
187,India,1958-59,Cotton,7960.00,829.60,104.00,12.53,,1958,"Financial Year (Apr - Mar), 1958"
188,India,1956-57,Cotton,8020.00,836.40,104.00,11.03,,1956,"Financial Year (Apr - Mar), 1956"
189,India,1957-58,Cotton,8010.00,843.20,105.00,12.70,,1957,"Financial Year (Apr - Mar), 1957"
190,India,1951-52,Jute and Mesta,790.00,849.60,1074.00,,,1951,"Financial Year (Apr - Mar), 1951"
191,India,1990-91,Lentil (Masur),1190.00,850.00,717.00,,,1990,"Financial Year (Apr - Mar), 1990"
192,India,2009-10,Sunflower,1480.00,850.00,576.00,,,2009,"Financial Year (Apr - Mar), 2009"
193,India,1952-53,Rapeseed & Mustard,2110.00,860.00,408.00,,,1952,"Financial Year (Apr - Mar), 1952"
194,India,1955-56,Rapeseed & Mustard,2560.00,860.00,336.00,10.39,,1955,"Financial Year (Apr - Mar), 1955"
195,India,2014-15,Tobacco,470.00,860.00,1830.00,58.79,,2014,"Financial Year (Apr - Mar), 2014"
196,India,1953-54,Rapeseed & Mustard,2240.00,870.00,389.00,,,1953,"Financial Year (Apr - Mar), 1953"
197,India,1990-91,Sunflower,1630.00,870.00,535.00,,,1990,"Financial Year (Apr - Mar), 1990"
198,India,2002-03,Lentil (Masur),1380.00,870.00,634.00,,,2002,"Financial Year (Apr - Mar), 2002"
199,India,2002-03,Sunflower,1640.00,870.00,531.00,,,2002,"Financial Year (Apr - Mar), 2002"
200,India,1986-87,Soybean,1530.00,890.00,584.00,,,1986,"Financial Year (Apr - Mar), 1986"
201,India,1997-98,Sunflower,1740.00,890.00,510.00,,,1997,"Financial Year (Apr - Mar), 1997"
202,India,1966-67,Cotton,7840.00,895.90,114.00,16.09,,1966,"Financial Year (Apr - Mar), 1966"
203,India,1987-88,Soybean,1540.00,900.00,582.00,,,1987,"Financial Year (Apr - Mar), 1987"
204,India,2004-05,Guarseed,2867.40,903.30,315.00,,,2004,"Financial Year (Apr - Mar), 2004"
205,India,2006-07,Lentil (Masur),1470.00,910.00,621.00,,,2006,"Financial Year (Apr - Mar), 2006"
206,India,1963-64,Rapeseed & Mustard,3050.00,920.00,300.00,16.08,,1963,"Financial Year (Apr - Mar), 1963"
207,India,2000-01,Lentil (Masur),1480.00,920.00,619.00,,,2000,"Financial Year (Apr - Mar), 2000"
208,India,1968-69,Cotton,7600.00,926.50,122.00,16.48,,1968,"Financial Year (Apr - Mar), 1968"
209,India,1957-58,Rapeseed & Mustard,2410.00,930.00,387.00,12.96,,1957,"Financial Year (Apr - Mar), 1957"
210,India,2003-04,Sunflower,2000.00,930.00,464.00,,,2003,"Financial Year (Apr - Mar), 2003"
211,India,1951-52,Rapeseed & Mustard,2400.00,940.00,393.00,,,1951,"Financial Year (Apr - Mar), 1951"
212,India,1998-99,Lentil (Masur),1390.00,940.00,675.00,,,1998,"Financial Year (Apr - Mar), 1998"
213,India,2010-11,Lentil (Masur),1600.00,940.00,591.00,,,2010,"Financial Year (Apr - Mar), 2010"
214,India,1962-63,Cotton,7730.00,941.80,122.00,14.09,,1962,"Financial Year (Apr - Mar), 1962"
215,India,1969-70,Cotton,7730.00,945.20,122.00,16.41,,1969,"Financial Year (Apr - Mar), 1969"
216,India,1960-61,Jute and Mesta,900.00,946.80,1049.00,,,1960,"Financial Year (Apr - Mar), 1960"
217,India,1984-85,Soybean,1240.00,950.00,768.00,,,1984,"Financial Year (Apr - Mar), 1984"
218,India,1998-99,Sunflower,1820.00,950.00,521.00,,,1998,"Financial Year (Apr - Mar), 1998"
219,India,2005-06,Lentil (Masur),1510.00,950.00,629.00,,,2005,"Financial Year (Apr - Mar), 2005"
220,India,2008-09,Lentil (Masur),1380.00,950.00,693.00,,,2008,"Financial Year (Apr - Mar), 2008"
221,India,2017-18,Tobacco,410.00,950.00,2317.00,66.00,,2017,"Financial Year (Apr - Mar), 2017"
222,India,1960-61,Cotton,7610.00,952.00,125.00,12.71,,1960,"Financial Year (Apr - Mar), 1960"
223,India,1952-53,Jute and Mesta,930.00,957.60,1028.00,,,1952,"Financial Year (Apr - Mar), 1952"
224,India,1957-58,Jute and Mesta,1020.00,959.40,944.00,,,1957,"Financial Year (Apr - Mar), 1957"
225,India,1996-97,Lentil (Masur),1370.00,960.00,702.00,,,1996,"Financial Year (Apr - Mar), 1996"
226,India,1997-98,Guarseed,2301.20,962.70,418.00,,,1997,"Financial Year (Apr - Mar), 1997"
227,India,2001-02,Lentil (Masur),1470.00,970.00,664.00,,,2001,"Financial Year (Apr - Mar), 2001"
228,India,1955-56,Jute and Mesta,940.00,970.20,1038.00,,,1955,"Financial Year (Apr - Mar), 1955"
229,India,1972-73,Cotton,7680.00,975.80,127.00,21.01,,1972,"Financial Year (Apr - Mar), 1972"
230,India,1963-64,Cotton,8220.00,977.50,119.00,15.34,,1963,"Financial Year (Apr - Mar), 1963"
231,India,2015-16,Lentil (Masur),1280.00,980.00,765.00,,,2015,"Financial Year (Apr - Mar), 2015"
232,India,1967-68,Cotton,8000.00,982.60,123.00,16.68,,1967,"Financial Year (Apr - Mar), 1967"
233,India,2004-05,Lentil (Masur),1470.00,990.00,675.00,,,2004,"Financial Year (Apr - Mar), 2004"
234,India,1976-77,Cotton,6890.00,992.80,144.00,24.60,,1976,"Financial Year (Apr - Mar), 1976"
235,India,1975-76,Cotton,7350.00,1011.50,138.00,23.48,,1975,"Financial Year (Apr - Mar), 1975"
236,India,1985-86,Soybean,1340.00,1020.00,764.00,,,1985,"Financial Year (Apr - Mar), 1985"
237,India,2013-14,Lentil (Masur),1340.00,1020.00,761.00,,,2013,"Financial Year (Apr - Mar), 2013"
238,India,1964-65,Cotton,8370.00,1021.70,122.00,15.46,,1964,"Financial Year (Apr - Mar), 1964"
239,India,1959-60,Jute and Mesta,980.00,1024.20,1049.00,,,1959,"Financial Year (Apr - Mar), 1959"
240,India,2009-10,Lentil (Masur),1480.00,1030.00,697.00,,,2009,"Financial Year (Apr - Mar), 2009"
241,India,1954-55,Rapeseed & Mustard,2440.00,1040.00,425.00,0.09,,1954,"Financial Year (Apr - Mar), 1954"
242,India,1956-57,Rapeseed & Mustard,2540.00,1040.00,411.00,13.53,,1956,"Financial Year (Apr - Mar), 1956"
243,India,1958-59,Rapeseed & Mustard,2450.00,1040.00,426.00,13.02,,1958,"Financial Year (Apr - Mar), 1958"
244,India,2003-04,Lentil (Masur),1400.00,1040.00,743.00,,,2003,"Financial Year (Apr - Mar), 2003"
245,India,2014-15,Lentil (Masur),1470.00,1040.00,705.00,,,2014,"Financial Year (Apr - Mar), 2014"
246,India,1965-66,Jute and Mesta,1110.00,1040.40,936.00,,,1965,"Financial Year (Apr - Mar), 1965"
247,India,1956-57,Jute and Mesta,1070.00,1045.80,977.00,,,1956,"Financial Year (Apr - Mar), 1956"
248,India,1974-75,Jute and Mesta,980.00,1049.40,1068.00,,,1974,"Financial Year (Apr - Mar), 1974"
249,India,2005-06,Guarseed,2955.50,1059.00,358.00,,,2005,"Financial Year (Apr - Mar), 2005"
250,India,1959-60,Rapeseed & Mustard,2910.00,1060.00,365.00,12.31,,1959,"Financial Year (Apr - Mar), 1959"
251,India,2011-12,Lentil (Masur),1560.00,1060.00,678.00,,,2011,"Financial Year (Apr - Mar), 2011"
252,India,1975-76,Jute and Mesta,910.00,1063.80,1164.00,,,1975,"Financial Year (Apr - Mar), 1975"
253,India,1973-74,Cotton,7570.00,1072.70,142.00,22.07,,1973,"Financial Year (Apr - Mar), 1973"
